mean_fit_time;std_fit_time;mean_score_time;std_score_time;param_kernel;param_epsilon;param_C;params;split0_test_score;split1_test_score;split2_test_score;split3_test_score;split4_test_score;mean_test_score;std_test_score;rank_test_score;model_name;y_true;y_pred;Error
0,006659603118896485;0,0003456178945106277;0,00715794563293457;0,0001698492752708766;rbf;0,2;100,0;{'kernel': 'rbf', 'epsilon': 0.2, 'C': 100};-171781,81331615438;-154918,05224670624;-161626,04539857342;-172477,42895237167;-182574,9008272445;-168675,64814821005;9552,5846584665;6,0;svr01;2960,0;2670,95397042636;289,0460295736402
0,006382369995117187;4,567408061337516e-05;0,0018769264221191405;8,408960756416045e-05;poly;0,2;100,0;{'kernel': 'poly', 'epsilon': 0.2, 'C': 100};-190317,3330246223;-173745,82804873;-168442,65159834138;-169003,51987732644;-164628,01064920935;-173227,4686396459;9022,406066771899;17,0;svr01;2920,0;2627,946428531447;292,05357146855295
7,495366382598877;1,661311216610967;0,002225303649902344;0,00023893075289519575;linear;0,5;100,0;{'kernel': 'linear', 'epsilon': 0.5, 'C': 100};-147684,90558458355;-144552,56502328775;-137486,04731995924;-221707,6296362549;-123786,44963446916;-155043,51943971092;34332,439909738176;3,0;svr01;2730,0;2557,4035377443224;172,59646225567758
0,007320880889892578;0,0010745629518950784;0,008110570907592773;0,0011868375848268957;rbf;0,5;100,0;{'kernel': 'rbf', 'epsilon': 0.5, 'C': 100};-171649,54870714594;-154833,916102248;-161634,81506163723;-172477,42895237167;-182365,93577399317;-168592,32891947922;9506,353277780192;4,0;svr01;2560,0;2397,010967606345;162,98903239365518
0,0072040557861328125;0,0019580354246493668;0,0017249107360839844;7,160967015599699e-05;poly;0,5;100,0;{'kernel': 'poly', 'epsilon': 0.5, 'C': 100};-190258,9859949739;-173707,5826433513;-168411,4366585988;-168996,222494349;-164622,55664147224;-173199,35688654907;9004,901554253138;16,0;svr01;2940,0;2548,085390681067;391,9146093189329
;;;;;;;;;;;;;;;;;0,0;-178,54476428624093;178,54476428624093
;;;;;;;;;;;;;;;;;2950,0;2421,136028999129;528,8639710008711
;;;;;;;;;;;;;;;;;2659,15185546875;2702,302320116797;-43,15046464804709
;;;;;;;;;;;;;;;;;2094,56494140625;2435,6536496818453;-341,0887082755953
;;;;;;;;;;;;;;;;;2248,2314453125;2583,784996026793;-335,5535507142931
;;;;;;;;;;;;;;;;;0,0;642,8088710248858;-642,8088710248858
;;;;;;;;;;;;;;;;;0,0;107,62140106562674;-107,62140106562674
;;;;;;;;;;;;;;;;;2599,17724609375;2235,2173124492556;363,9599336444944
;;;;;;;;;;;;;;;;;2661,98974609375;2206,9614646375567;455,0282814561933
;;;;;;;;;;;;;;;;;2820,0;2651,8687622487932;168,13123775120675
;;;;;;;;;;;;;;;;;2714,8154296875;2980,664163702765;-265,8487340152651
;;;;;;;;;;;;;;;;;2598,69189453125;2149,3908932149798;449,30100131627023
;;;;;;;;;;;;;;;;;2727,721923828125;2950,0638201177508;-222,34189628962577
;;;;;;;;;;;;;;;;;2900,0;2547,183569663802;352,8164303361982
;;;;;;;;;;;;;;;;;2508,52099609375;2557,526134485045;-49,00513839129508
;;;;;;;;;;;;;;;;;2685,690673828125;2563,4176461637408;122,27302766438424
;;;;;;;;;;;;;;;;;2830,0;2528,72104179267;301,2789582073301
;;;;;;;;;;;;;;;;;602,0;994,0069850623995;-392,0069850623995
;;;;;;;;;;;;;;;;;2784,39916992188;2651,093156570235;133,3060133516451
;;;;;;;;;;;;;;;;;2124,84497070313;2951,212599033156;-826,367628330026
;;;;;;;;;;;;;;;;;2553,54272460938;2500,2263842761904;53,3163403331896
;;;;;;;;;;;;;;;;;0,0;-48,59591270085275;48,59591270085275
;;;;;;;;;;;;;;;;;312,0;899,0327539384753;-587,0327539384753
;;;;;;;;;;;;;;;;;2900,0;2575,246925348082;324,7530746519178
;;;;;;;;;;;;;;;;;2950,0;2680,7143572509676;269,2856427490324
;;;;;;;;;;;;;;;;;2132,40869140625;2806,1171703279406;-673,7084789216906
;;;;;;;;;;;;;;;;;2950,0;2436,459221357146;513,5407786428541
;;;;;;;;;;;;;;;;;2584,41943359375;2553,3741782844454;31,045255309304594
;;;;;;;;;;;;;;;;;384,0;729,0000370681673;-345,00003706816733
;;;;;;;;;;;;;;;;;2960,0;2502,21729158763;457,7827084123701
